,FECHA,FRECUENCIA
0,2023-12-05,13
1,2023-12-06,1
2,2023-12-07,6
3,2023-12-08,1
4,2023-12-09,1
5,2023-12-10,0
6,2023-12-11,4
7,2023-12-12,0
8,2023-12-13,21
9,2023-12-14,3
10,2023-12-15,1
11,2023-12-16,3
12,2023-12-17,0
13,2023-12-18,21
14,2023-12-19,9
15,2023-12-20,3
16,2023-12-21,5
17,2023-12-22,1
18,2023-12-23,2
19,2023-12-24,1
20,2023-12-25,0
21,2023-12-26,4
22,2023-12-27,12
23,2023-12-28,10
24,2023-12-29,3
25,2023-12-30,0
26,2023-12-31,2
27,2024-01-01,4
28,2024-01-02,3
29,2024-01-03,4
30,2024-01-04,6
31,2024-01-05,7
32,2024-01-06,1
33,2024-01-07,2
34,2024-01-08,1
35,2024-01-09,1
36,2024-01-10,1
37,2024-01-11,1
38,2024-01-12,2
39,2024-01-13,0
40,2024-01-14,1
41,2024-01-15,4
42,2024-01-16,0
43,2024-01-17,1
44,2024-01-18,21
45,2024-01-19,3
46,2024-01-20,5
47,2024-01-21,0
48,2024-01-22,2
49,2024-01-23,1
50,2024-01-24,2
51,2024-01-25,0
52,2024-01-26,4
53,2024-01-27,2
54,2024-01-28,0
55,2024-01-29,2
56,2024-01-30,5
57,2024-01-31,2
58,2024-02-01,3
59,2024-02-02,2
60,2024-02-03,2
61,2024-02-04,1
62,2024-02-05,1
63,2024-02-06,4
64,2024-02-07,3
65,2024-02-08,1
66,2024-02-09,1
67,2024-02-10,0
68,2024-02-11,0
69,2024-02-12,2
70,2024-02-13,0
71,2024-02-14,0
72,2024-02-15,3
73,2024-02-16,1
74,2024-02-17,2
75,2024-02-18,0
76,2024-02-19,2
77,2024-02-20,5
78,2024-02-21,3
79,2024-02-22,4
80,2024-02-23,1
81,2024-02-24,0
82,2024-02-25,1
83,2024-02-26,6
84,2024-02-27,0
85,2024-02-28,6
86,2024-02-29,5
87,2024-03-01,39
88,2024-03-02,6
89,2024-03-03,8
90,2024-03-04,7
91,2024-03-05,4
92,2024-03-06,12
93,2024-03-07,2
94,2024-03-08,0
